filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
fs/ocfs2/dcache.c 0 0 0 0 0 0 0 0 0 0 0 0 124
fs/ocfs2/move_extents.c 2 2 0 1 0 0 1 1 0 0 0 43 388
fs/ocfs2/inode.c 0 0 0 0 0 0 0 0 0 0 0 0 519
fs/ocfs2/resize.c 2 2 0 0 0 0 0 0 0 0 0 22 253
fs/ocfs2/heartbeat.c 0 0 0 0 0 0 0 0 0 0 0 0 35
fs/ocfs2/namei.c 1 0 0 0 0 0 2 2 0 0 0 36 1183
fs/ocfs2/suballoc.c 5 4 0 4 0 0 8 7 0 0 0 64 1027
fs/ocfs2/ocfs2_stack_o2cb.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/ocfs2/ioctl.c 4 4 0 1 0 1 1 0 0 0 0 33 383
fs/ocfs2/dlmglue.c 1 0 0 0 0 0 6 2 0 0 0 32 1342
fs/ocfs2/alloc.c 25 14 0 15 2 0 17 14 0 6 1 352 2534
fs/ocfs2/symlink.c 0 0 0 0 0 0 0 0 0 0 0 0 26
fs/ocfs2/export.c 0 0 0 0 0 0 0 0 0 0 0 0 103
fs/ocfs2/stack_user.c 1 0 0 1 0 0 0 0 0 0 0 2 358
fs/ocfs2/uptodate.c 6 2 0 3 0 0 3 2 0 0 0 24 171
fs/ocfs2/file.c 3 2 0 1 0 0 8 8 0 1 0 113 959
fs/ocfs2/journal.c 9 6 0 5 0 0 5 4 0 2 0 104 829
fs/ocfs2/quota_local.c 6 4 0 0 0 0 0 0 0 0 0 75 611
fs/ocfs2/reservations.c 0 0 0 0 0 0 7 5 0 0 0 54 256
fs/ocfs2/buffer_head_io.c 5 5 0 3 0 0 0 0 0 0 0 62 138
fs/ocfs2/mmap.c 0 0 0 0 0 0 0 0 0 0 0 0 61
fs/ocfs2/aops.c 8 8 0 8 0 0 4 2 0 0 0 75 839
fs/ocfs2/cluster/masklog.c 0 0 0 0 0 0 1 0 0 1 0 2 42
fs/ocfs2/cluster/sys.c 0 0 0 0 0 0 0 0 0 0 0 0 21
fs/ocfs2/cluster/tcp.c 4 3 0 0 2 0 4 2 0 0 0 38 836
fs/ocfs2/cluster/nodemanager.c 4 3 0 4 0 0 1 1 0 0 0 19 336
fs/ocfs2/cluster/quorum.c 0 0 0 0 0 0 0 0 0 0 0 0 101
fs/ocfs2/cluster/heartbeat.c 8 3 0 5 1 0 8 4 0 0 0 62 959
fs/ocfs2/cluster/netdebug.c 0 0 0 0 0 0 1 0 0 0 0 1 162
fs/ocfs2/cluster/ocfs2_nodemanager.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/ocfs2/dlm/dlmlock.c 0 0 0 0 0 0 0 0 0 0 0 0 285
fs/ocfs2/dlm/dlmdebug.c 4 1 0 0 0 0 2 1 0 0 0 15 317
fs/ocfs2/dlm/dlmconvert.c 0 0 0 0 0 0 0 0 0 0 0 0 192
fs/ocfs2/dlm/dlmmaster.c 6 5 0 1 0 0 10 10 0 0 0 168 1372
fs/ocfs2/dlm/dlmunlock.c 1 1 0 0 0 0 0 0 0 0 0 5 227
fs/ocfs2/dlm/dlmthread.c 0 0 0 0 0 0 4 4 0 0 0 93 266
fs/ocfs2/dlm/dlmast.c 0 0 0 0 0 0 0 0 0 0 0 0 182
fs/ocfs2/dlm/ocfs2_dlm.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/ocfs2/dlm/dlmdomain.c 13 5 0 2 2 3 6 2 0 0 0 79 908
fs/ocfs2/dlm/dlmrecovery.c 7 6 0 1 1 1 8 6 1 0 0 228 1069
fs/ocfs2/dlmfs/userdlm.c 0 0 0 0 0 0 2 1 0 0 0 7 235
fs/ocfs2/dlmfs/ocfs2_dlmfs.mod.c 0 0 0 0 0 0 0 0 0 0 0 0 6
fs/ocfs2/dlmfs/dlmfs.c 0 0 0 0 0 0 0 0 0 0 0 0 251
fs/hfsplus/bfind.c 1 1 0 0 0 0 3 2 0 0 0 34 150
fs/hfsplus/dir.c 2 2 0 0 0 0 0 0 0 0 0 42 267
fs/hfsplus/xattr_user.c 0 0 0 0 0 0 0 0 0 0 0 0 4
fs/hfsplus/catalog.c 0 0 0 0 0 0 0 0 0 0 0 0 228
fs/hfsplus/brec.c 1 1 0 0 0 0 4 0 0 0 0 17 285
fs/hfsplus/bnode.c 6 4 0 2 0 0 9 0 0 0 0 61 357
fs/hfsplus/posix_acl.c 0 0 0 0 0 0 0 0 0 0 0 0 55
fs/hfsplus/super.c 0 0 0 0 0 0 0 0 0 0 0 0 329
fs/hfsplus/options.c 0 0 0 0 0 0 2 2 2 1 1 55 91
fs/hfsplus/xattr.c 2 2 0 0 0 0 1 1 0 0 0 30 386
