filename for_count for_with_if_count for_with_switch_count for_with_array_references_count for_with_function_calls_count nested_for_count while_count while_with_if_count while_with_switch_count while_with_array_references_count while_with_function_calls_count stmts_inside_loop total_stmts
/toolbox/misc/vl_ihashsum.c 6 3 0 3 0 1 0 0 0 0 0 30 86
/toolbox/misc/vl_localmax.c 7 0 0 3 0 0 3 2 0 2 0 41 103
/toolbox/misc/vl_kdtreequery.c 1 1 0 0 0 0 1 1 1 0 0 9 50
/toolbox/misc/vl_inthist.c 5 3 0 0 0 2 1 1 1 1 0 21 63
/toolbox/misc/vl_ihashfind.c 6 3 0 4 0 1 0 0 0 0 0 20 57
/toolbox/misc/vl_alldist2.c 2 2 0 0 0 2 1 0 1 0 0 55 154
/toolbox/misc/vl_alldist.c 0 0 0 0 0 0 1 0 1 0 0 11 54
/toolbox/misc/vl_sampleinthist.c 0 0 0 0 0 0 0 0 0 0 0 0 36
/toolbox/misc/vl_simdctrl.c 0 0 0 0 0 0 0 0 0 0 0 0 9
/toolbox/misc/vl_threads.c 0 0 0 0 0 0 0 0 0 0 0 0 11
/toolbox/misc/vl_lbp.c 0 0 0 0 0 0 0 0 0 0 0 0 25
/toolbox/misc/vl_version.c 0 0 0 0 0 0 1 0 1 0 0 3 21
/toolbox/misc/vl_twister.c 6 2 0 3 0 0 0 0 0 0 0 7 52
/toolbox/misc/vl_getpid.c 0 0 0 0 0 0 0 0 0 0 0 0 6
/toolbox/misc/vl_homkermap.c 3 0 0 0 0 0 1 1 1 0 0 28 68
/toolbox/misc/vl_binsum.c 0 0 0 0 0 0 0 0 0 0 0 0 23
/toolbox/misc/vl_cummax.c 2 0 0 1 0 0 0 0 0 0 0 1 26
/toolbox/misc/vl_binsearch.c 1 1 0 1 0 0 0 0 0 0 0 12 30
/toolbox/misc/vl_kdtreebuild.c 1 0 0 0 0 0 1 1 1 1 0 18 61
/toolbox/misc/vl_hog.c 1 0 0 1 0 0 1 1 1 0 0 18 116
/toolbox/imop/vl_imintegral.c 1 0 1 0 0 0 0 0 0 0 0 5 30
/toolbox/imop/vl_tpsumx.c 1 0 0 0 0 1 0 0 0 0 0 8 24
/toolbox/imop/vl_imwbackwardmx.c 2 2 0 2 0 2 1 1 0 0 0 63 102
/toolbox/imop/vl_imsmooth.c 4 0 0 2 0 0 1 1 1 0 0 37 109
/toolbox/imop/vl_imdisttf.c 2 0 0 0 0 0 0 0 0 0 0 0 31




total-for: 393
for-with-if: 140 35%
for-with-switches: 12 3%
for-with-array-references: 133 33%
for-with-function-calls: 10 2%
total-nested-for: 121 30%

total-while: 135
while-with-if: 61 45%
while-with-switches: 33 24%
while-with-array-references: 25 18%
while-with-function-calls: 17 12%

total-statements: 11750
statements-inside-loop: 4395 37%
